Rhythm,vibrance,key,Decibel_Levels,mode,lyrics_amount,acoustics,instruments,bounce,valence,Beats_Speed,type,TimeLength,title,Hyperactivity,MusicEraRating,genre
6.2042,9.53,6,-5.531,0,0.3644,0.00235,0.442,0.626,0.927,123.983,audio_features,206588,Tech House 2020,114.932241,4,Electro
4.9312,9.79,7,-3.79,1,0.2328,0.000365,0.878,0.0674,0.878,125.021,audio_features,338563,Beatoirt Best New Tech House,109.768438,15,Electro
3.1557,8.91,2,-3.047,1,0.2528,0.0264,2.97E-06,0.298,0.309,174.012,audio_features,190388,Stepping Out,53.769708,12,Drums & Bass
3.7185,3.73,5,-7.715,0,1.484,0.643,0.00535,0.3,0.318,170.66,audio_features,154213,,54.26988,3,Dark Trap
1.5276,7.35,5,-3.25,0,0.16,0.0263,2.60E-06,0.234,0.233,147.357,audio_features,220800,Euphoric Hardstyle & Melodic Hardstyle,34.334181,8,hardstyle
4.3684,9.6,6,-5.624,0,0.1832,0.00139,0.828,0.212,0.444,134.992,audio_features,440893,"Psy, Goa, Full on Trance",59.936448,16,psytrance
4.288,5.19,1,-6.757,0,0.752,0.25,0,0.1766,0.252,206.718,audio_features,143493,,52.092936,4,Rhythm & Blues
5.5409,4.69,10,-9.141,0,1.364,0.0807,8.12E-06,0.414,0.196,194.056,audio_features,238321,,38.034976,18,Rhythm & Blues
4.757,3.98,9,-9.964,1,1.028,0.0663,0,0.292,0.293,144.872,audio_features,174838,,42.447496,9,Rap
4.8374,2.52,1,-14.411,0,0.3044,0.0671,0,0.1704,0.275,159.846,audio_features,238120,,43.95765,17,Rhythm & Blues
4.7972,4.93,5,-14.354,0,0.472,0.228,0.933,0.1892,0.132,133.999,audio_features,358982,|DARK|HARD|TECHNO,17.687868,14,techno
4.7838,8.03,0,-8.428,1,0.2304,0.0034,0.825,0.622,0.241,124.991,audio_features,176843,Tech House Essentials by Distortion,30.122831,16,Electro
4.1808,8.03,9,-5.107,0,0.872,0.0453,0,0.636,0.172,184.802,audio_features,250760,,31.785944,7,Hiphop
2.8006,9.02,1,-5.592,1,0.2232,0.00338,0.763,0.2,0.363,149.968,audio_features,240042,Euphoric Hardstyle,54.438384,1,hardstyle
5.8089,4.35,7,-10.22,1,0.436,0.141,0.858,0.224,0.46,128.012,audio_features,559984,Dark Techno,58.88552,17,techno
6.4521,3.46,5,-9.309,0,2.12,0.0355,0,0.216,0.562,119.957,audio_features,142273,,67.415834,9,Rap
4.4354,8.74,1,-5.901,1,0.1472,0.00218,0.934,0.278,0.0475,135.141,audio_features,206241,,6.4191975,8,Dark Trap
4.2143,9.71,0,-4.191,1,0.56,0.00225,0.0203,0.262,0.363,140.035,audio_features,185143,Headbangers:Dubstep/Riddim,50.832705,5,trap
3.3031,8.26,9,-3.106,1,1.244,0.095,3.42E-06,0.504,0.75,112.865,audio_features,189974,,84.64875,13,Hiphop
2.1842,9.79,7,-2.245,1,0.34,0.0011,0.0485,0.1894,0.402,174.023,audio_features,249759,UKF Drum & Bass - All Uploads,69.957246,11,Drums & Bass
5.7486,3.98,1,-11.306,1,0.2392,0.00888,0,0.224,0.258,194.952,audio_features,216520,,50.297616,8,Hipstter-Hop
5.1255,9.19,1,-10.879,0,0.1344,0.00039,0.773,0.22,0.204,129.997,audio_features,391619,techno. only. (08/02),26.519388,1,techno
3.8994,9.91,1,-1.159,1,1.608,0.0179,0.00351,0.232,0.0387,149.983,audio_features,242030,Lost Lands 2019,5.8043421,8,trap
4.623,7.29,11,-5.819,0,0.884,1.70E-05,0.0431,0.304,0.357,182.752,audio_features,202107,,65.242464,8,Hiphop
4.5091,2.58,11,-12.256,1,0.724,0.798,0.634,0.1838,0.112,190.002,audio_features,131291,,21.280224,5,Dark Trap
3.9061,6.1,5,-5.639,0,0.1528,0.00425,0.000105,0.28,0.336,114.06,audio_features,214740,,38.32416,19,Pop
,6.52,0,-6.846,1,0.816,0.103,0,0.226,0.416,182.462,audio_features,247040,,75.904192,15,Hiphop
4.2344,7.19,6,-4.499,0,1.336,0.0136,0,0.912,0.485,161.909,audio_features,142502,,78.525865,13,Hipstter-Hop
4.1138,6.16,2,-10.575,0,0.2456,0.169,0.116,0.22,0.194,130.017,audio_features,218769,,25.223298,9,Dark Trap
5.3198,3.64,5,-12.232,1,1.132,0.262,0,0.608,0.505,192.104,audio_features,170625,,97.01252,9,Hipstter-Hop
3.819,4.93,5,-5.425,0,0.3452,0.00684,0,0.102,0.728,180.009,audio_features,203973,,131.046552,17,Rhythm & Blues
3.9463,8.93,3,-3.452,0,1.464,0.186,0,1.282,0.603,191.694,audio_features,215458,,115.591482,3,Hipstter-Hop
2.9547,8.43,0,-5.165,0,0.2092,0.0114,0.000876,0.1414,0.34,146.973,audio_features,411428,Euphoric Hardstyle,49.97082,16,hardstyle
4.69,4.92,1,-6.138,1,0.2004,0.00301,0.000171,0.256,0.039,150.003,audio_features,128000,,5.850117,1,Hipstter-Hop
6.2913,4.98,5,-10.94,0,0.644,0.0444,0.00128,0.095,0.801,113.053,audio_features,202213,,90.555453,12,Rhythm & Blues
5.427,5.85,9,-7.037,0,1.152,0.248,0.0115,0.1918,0.281,139.968,audio_features,137107,,39.331008,4,Hipstter-Hop
5.3332,5.86,4,-6.946,0,0.588,0.0247,0,0.264,0.179,195.962,audio_features,200107,,35.077198,9,Hipstter-Hop
4.9848,7.04,0,-6.962,1,0.928,0.247,0,0.628,0.56,196.112,audio_features,195918,,109.82272,16,Hipstter-Hop
4.9245,8.4,7,-4.934,1,0.2524,0.0105,0.806,0.161,0.304,126.997,audio_features,471968,Techno 2020,38.607088,3,techno
3.4639,9.17,9,-3.754,0,0.2432,0.0149,0.126,0.88,0.121,150.051,audio_features,207500,Euphoric Hardstyle & Melodic Hardstyle,18.156171,9,hardstyle
3.1691,9.92,1,-7.415,1,0.596,7.55E-05,0.859,1.444,0.103,137.988,audio_features,224031,State if Trance (The best ASOT Epsidoes),14.212764,2,trance
4.8307,7.11,8,-4.561,1,1.392,0.0738,0.000289,0.276,0.0751,149.81,audio_features,159248,,11.250731,5,Hipstter-Hop
2.7001,8.95,11,-4.533,1,0.2956,0.00296,0.437,0.214,0.0387,141.578,audio_features,227290,,5.4790686,19,Dark Trap
4.623,7.55,9,-9.333,0,0.18,0.0039,0.857,0.1704,0.3,124.999,audio_features,361162,Tech House 2020 - Best of Techno,37.4997,7,Electro
5.3734,7.03,11,-7.962,0,0.2968,4.55E-05,0.795,0.35,0.379,127.994,audio_features,320640,techno. only. (08/02),48.509726,17,techno
5.6816,7.57,1,-7.639,1,0.764,0.00388,1.91E-06,0.746,0.625,154.915,audio_features,119562,,96.821875,5,Industrial Trap
5.896,3.94,1,-10.417,0,0.2464,0.036,0.775,0.204,0.0861,140,audio_features,586934,Best Psytrance 2020,12.054,14,psytrance
5.0116,4.44,11,-8.739,1,0.1916,0.197,3.93E-05,0.256,0.0499,130.047,audio_features,140064,,6.4893453,19,Hipstter-Hop
5.762,6.2,1,-6.986,1,0.736,0.0106,5.52E-06,0.208,0.177,160.085,audio_features,97437,,28.335045,13,Hipstter-Hop
2.5929,8.85,1,-11.533,0,0.1464,8.96E-05,0.806,0.862,0.0933,134.991,audio_features,239949,State if Trance (The best ASOT Epsidoes),12.5946603,7,trance
5.226,5.99,1,-9.981,1,0.3028,0.0324,0.000174,0.1264,0.443,184.424,audio_features,274533,,81.699832,10,Hiphop
5.6548,8.57,10,-3.74,0,1.016,0.201,5.88E-06,1.076,0.72,180.564,audio_features,239413,,130.00608,16,Hipstter-Hop
5.5476,4.34,5,-10.609,1,1.204,0.0394,0,0.1612,0.38,115.071,audio_features,131600,,43.72698,9,Hipstter-Hop
2.814,8.86,6,-4.37,0,0.1316,0.0715,0.0445,0.226,0.291,150.101,audio_features,149642,Euphoric Hardstyle & Melodic Hardstyle,43.679391,8,hardstyle
3.9865,6.61,11,-9.507,0,0.1532,0.00107,0.856,0.406,0.0712,135.978,audio_features,480545,PSYTRANCE BANGERS best new 2020,9.6816336,2,psytrance
4.2277,9.82,5,-7.087,0,0.2084,5.78E-05,0.761,0.234,0.196,145.007,audio_features,499448,Psytrance: From Full on to Forrest Trance,28.421372,3,psytrance
2.5326,8.77,2,-12.019,1,0.2108,4.14E-06,0.879,1.1,0.0327,137.007,audio_features,219951,Uplifting Trance 2019,4.4801289,16,trance
2.6331,9.65,5,-2.078,1,0.2936,0.00912,0,0.77,0.37,134.919,audio_features,197760,,49.92003,7,Emotional
5.8759,4.77,9,-7.379,0,0.2348,0.307,0,0.1858,0.552,127.023,audio_features,226743,,70.116696,2,Hiphop
3.3969,9.68,11,-3.328,0,0.448,0.00182,0.408,0.316,0.465,149.945,audio_features,217600,Headbangers:Dubstep/Riddim,69.724425,2,trap
3.5845,8.82,5,-10.212,1,0.284,0.00181,0.867,0.1094,0.101,138,audio_features,255652,Top Trance Songs EVER,13.938,7,trance
3.3031,6.59,9,-5.616,1,0.1612,0.00553,0,0.238,0.413,184.566,audio_features,222800,,76.225758,18,Emotional
4.5761,9.76,7,-5.157,1,0.2012,4.07E-05,0.798,0.664,0.426,143.99,audio_features,468333,Psytrance: From Full on to Forrest Trance,61.33974,6,psytrance
6.0367,9.77,1,-6.27,1,0.2868,0.000629,0.00962,0.234,0.395,125.011,audio_features,399720,Tech House Pizza,49.379345,16,Electro
3.7654,9.39,0,-4.282,1,0.19,0.046,0,0.224,0.684,116.044,audio_features,221947,,79.374096,4,Pop
3.8324,8.91,2,-1.754,1,0.27,0.00492,0.595,1.35,0.0877,145.044,audio_features,238345,HEADBANGERS:Dubstep/Riddim,12.7203588,17,trap
2.8073,8.89,8,-3.186,0,0.1856,4.62E-05,0.882,0.238,0.114,174.013,audio_features,250354,UKF Drum & Bass - All Uploads,19.837482,17,Drums & Bass
3.3701,8.25,4,-5.294,0,0.504,0.0247,0.0485,1.706,0.424,149.985,audio_features,326400,Lost Lands 2019,63.59364,16,trap
1.1993,9.12,4,-3.881,0,0.3164,0.0014,0.000294,1.164,0.289,182.99,audio_features,231533,,52.88411,3,Emotional
1.943,9.35,7,-7.136,1,0.2628,0.00515,0.716,1.376,0.0665,144.979,audio_features,466759,PSYTRANCE BANGERS best new 2020,9.6411035,4,psytrance
5.4069,8.16,3,-6.654,0,0.344,7.10E-06,0.958,0.1878,0.534,127.998,audio_features,361970,blanc | Tech House,68.350932,6,Electro
4.9245,8.48,4,-9.431,0,0.2332,0.00469,0.739,0.1966,0.115,128.012,audio_features,315000,techno. only. (08/02),14.72138,17,techno
4.0669,9.55,5,-5.136,0,0.3368,0.00357,0.887,0.298,0.177,145.098,audio_features,244965,Headbangers:Dubstep/Riddim,25.682346,18,trap
3.7185,8.03,10,-6.267,0,1.424,0.00702,0,0.888,0.236,176.205,audio_features,331867,,41.58438,11,Rap
5.3801,8.48,11,-6.195,0,0.516,0.0751,0.804,0.1442,0.735,126.017,audio_features,324186,Dirtybird//Techhouse by Mack\,92.622495,10,Electro
5.0451,9.31,2,-4.922,1,0.2608,0.00994,0.00696,0.468,0.767,113.029,audio_features,189693,,86.693243,13,Rhythm & Blues
4.3215,8.1,1,-4.658,1,0.656,0.0439,0,0.782,0.324,140.1,audio_features,89143,,45.3924,18,Dark Trap
5.9965,4.94,1,-10.444,1,1.428,0.0026,0.542,0.224,0.581,155,audio_features,95138,,90.055,11,Industrial Trap
4.5091,6.42,1,-9.367,1,0.168,0.0668,0,0.322,0.202,135.129,audio_features,265000,,27.296058,19,Hiphop
,3.94,8,-8.539,1,0.532,0.0611,0,0.428,0.405,209.974,audio_features,238800,,85.03947,5,Rhythm & Blues
5.4404,7.07,8,-5.014,0,1.576,0.0571,0,0.204,0.45,179.971,audio_features,224023,,80.98695,10,Hipstter-Hop
3.8123,9.51,7,-8.518,1,0.2108,0.000145,0.867,0.268,0.394,148.012,audio_features,407040,Psytrance New Releases 2020,58.316728,14,psytrance
5.1992,5.75,4,-9.107,0,0.212,0.0161,0,0.202,0.491,139.987,audio_features,133702,,68.733617,3,Hipstter-Hop
4.1473,7.19,0,-4.111,1,0.628,0.0227,0,0.1678,0.351,172.072,audio_features,194576,,60.397272,13,Rhythm & Blues
4.6967,6.87,10,-6.787,1,0.576,0.0904,0,0.242,0.382,158.008,audio_features,173165,,60.359056,17,Dark Trap
4.7436,7.81,11,-8.267,0,0.2556,0.163,0.885,0.784,0.345,149.994,audio_features,166579,,51.74793,12,Dark Trap
2.1306,8.63,4,-4.245,1,0.216,0.000263,0.232,0.61,0.038,127.806,audio_features,285490,Progressive Trance,4.856628,19,trance
3.6046,9.23,6,-7.129,0,0.2892,0.00489,0.795,1.666,0.0366,144.999,audio_features,528000,Psy Trance Full-on Morning,5.3069634,14,psytrance
5.1389,4.63,9,-5.913,0,1.38,0.135,6.88E-05,0.175,0.563,187.356,audio_features,249013,,105.481428,4,Hiphop
1.4137,8.85,4,-5.445,0,0.18,0.000552,0.821,0.304,0.0872,134.957,audio_features,200889,Uplifting Trance.,11.7682504,3,trance
5.159,9.77,3,-5.056,0,0.348,0.00095,0.888,0.296,0.0554,138.015,audio_features,386087,PsyTrance 2020 felipe,7.646031,10,psytrance
2.9145,8.4,8,-2.943,1,0.1768,0.0219,0.00677,0.636,0.29,169.921,audio_features,169500,,49.27709,9,Hipstter-Hop
4.4153,7.89,2,-5.996,1,1.688,0.787,2.30E-05,0.324,0.262,123.872,audio_features,114209,,32.454464,2,Industrial Trap
4.489,8.67,1,-8.284,1,0.224,0.00592,0.782,1.036,0.698,148.025,audio_features,449189,DARK PSYTRANCE,103.32145,12,psytrance
4.0669,4.31,1,-9.077,0,0.82,0.215,0.000503,0.252,0.0885,145.869,audio_features,145613,,12.9094065,19,Hipstter-Hop
3.2026,3.26,3,-10.992,1,0.2772,0.468,0.000221,0.646,0.338,137.04,audio_features,314653,,46.31952,16,Hiphop
5.5275,6.44,1,-6.001,1,0.7,0.0311,0,0.172,0.79,132.019,audio_features,161480,,104.29501,7,Hipstter-Hop
5.2126,1.14,4,-9.346,0,0.496,0.822,0.0557,0.732,0.42,130.04,audio_features,58131,,54.6168,8,Dark Trap
4.9446,9.5,7,-6.554,1,0.1388,0.000196,0.934,0.222,0.391,128.011,audio_features,480987,Dark Techno,50.052301,1,techno
5.3734,8.42,8,-9.738,1,0.3076,0.068,0.91,0.1258,0.531,125.015,audio_features,399360,Tech House Essentials by Distortion,66.382965,6,Electro
3.5979,8.47,6,-5.208,1,0.1532,0.00236,1.16E-06,0.1688,0.459,106.055,audio_features,221827,,48.679245,19,Emotional
3.0619,6.49,11,-8.695,0,0.3752,0.00177,0.86,0.1888,0.0379,137.995,audio_features,403479,PSYTRANCE BANGERS best new 2020,5.2300105,12,psytrance
2.8542,9.84,8,-7.555,1,0.324,0.000269,0.92,1.662,0.338,140.026,audio_features,255429,Uplifting | Trance,47.328788,4,trance
4.4622,8.66,11,-5.759,0,2.576,0.0474,0.00142,0.764,0.291,182.072,audio_features,156923,,52.982952,2,Industrial Trap
5.3868,5.61,0,-11.054,0,0.1824,0.00134,0.865,0.202,0.427,121.005,audio_features,444307,Techno Music 2020 | Best Techno,51.669135,16,techno
1.8492,6.96,9,-12.718,0,0.1996,5.02E-05,0.982,0.6,0.332,135.034,audio_features,153720,Uplifting Trance.,44.831288,11,trance
2.7671,6.26,3,-5.503,1,0.1312,0.0476,0.000235,0.1898,0.0972,150.027,audio_features,172881,Hardstyle || HARD with STYLE Playlist,14.5826244,16,hardstyle
5.4203,5.99,0,-8.268,1,0.3316,3.34E-05,0.786,0.1002,0.638,124.988,audio_features,401728,Dirtybird Players,79.742344,18,Electro
5.7955,6.58,0,-7.111,1,0.1728,0.00283,0.665,0.1658,0.059,123.999,audio_features,377022,Dirtybird House,7.315941,2,Electro
3.5778,9.64,7,-4.514,1,2.032,0.073,3.57E-05,0.692,0.562,190.046,audio_features,117809,,106.805852,17,Dark Trap
5.0652,4.29,5,-8.079,0,0.118,0.0101,0.000589,0.306,0.092,190.016,audio_features,213474,,17.481472,12,Hipstter-Hop
5.7419,7.21,10,-12.702,0,1.364,0.118,0,0.356,0.594,109.806,audio_features,193200,,65.224764,11,Hiphop
5.0049,8.8,1,-3.532,1,0.3088,0.0299,0.825,0.302,0.109,130.005,audio_features,330462,Techno Top 50,14.170545,17,techno
5.5476,4.15,9,-12.965,1,1.304,0.0572,0.000289,0.1344,0.391,105.896,audio_features,149838,,41.405336,1,Hipstter-Hop
5.3667,7.57,2,-3.766,1,1.496,0.169,0,0.338,0.734,150.062,audio_features,128633,,110.145508,3,Industrial Trap
3.6247,8.88,0,-3.104,0,0.2648,0.0145,0,0.406,0.604,138.043,audio_features,214345,,83.377972,8,Hipstter-Hop
3.5577,9.13,2,-7.332,0,0.1988,0.0334,0.0362,0.848,0.0835,138.004,audio_features,201753,UPLIFTING TRANCE 2020,11.523334,12,trance
1.6549,8.1,7,-9.08,0,1.16,0.0115,0.22,0.576,0.184,155.66,audio_features,335344,Euphoric Hardstyle - 2020,28.64144,17,hardstyle
5.3801,6.97,6,-9.479,1,0.2396,0.00013,0.888,0.712,0.35,126.008,audio_features,507998,Tech House Movement,44.1028,16,Electro
4.8977,6.61,6,-6.562,0,1.504,0.145,0,0.24,0.369,87.912,audio_features,292520,,32.439528,16,Rap
2.7537,9.94,5,-6.727,0,0.2568,0.000519,0.724,1.692,0.408,137.995,audio_features,367776,UPLIFTING TRANCE 2020,56.30196,13,trance
4.8508,8.15,6,-2.357,1,1.396,0.0146,0.087,0.61,0.271,171.999,audio_features,273488,UKF Drum & Bass - All Uploads,46.611729,4,Drums & Bass
3.1222,9.98,1,-2.421,1,0.3044,0.00405,0.902,0.582,0.45,140.006,audio_features,253000,Top Trance Songs EVER,63.0027,3,trance
4.1808,7.23,1,-12.361,1,0.1876,0.00934,0.876,0.214,0.0548,133.004,audio_features,365314,Dark Techno Rave,7.2886192,14,techno
6.1305,5.38,2,-7.468,1,1.776,0.119,0,0.396,0.219,130.126,audio_features,197356,,28.497594,13,Rap
4.891,6.74,11,-8.551,0,0.1932,0.00839,0.0468,0.0954,0.462,127.977,audio_features,191267,Tech House 2020,59.125374,18,Electro
4.9379,5.96,1,-6.749,1,0.2,0.0819,0,0.286,0.143,206.096,audio_features,169293,,29.471728,4,Dark Trap
2.8877,9.62,8,-2.178,0,0.2356,0.00172,0.544,0.734,0.273,174.005,audio_features,224753,Drum and Bass 2020 (Drum & Bass Music - DNB Hits),47.503365,4,Drums & Bass
2.6666,9.02,3,-3.518,1,0.3444,0.00289,0,0.132,0.491,166.823,audio_features,232267,,81.910093,15,Emotional
3.7386,8.19,2,-2.921,0,0.2,0.0631,0.00135,0.39,0.145,174.03,audio_features,206943,Drum and Bass 2020,25.23435,1,Drums & Bass
6.0099,4.8,9,-7.426,1,1.052,0.102,0,0.288,0.359,114.408,audio_features,193272,,41.072472,16,Industrial Trap
5.4337,9.8,1,-5.152,1,1.984,0.06,0.555,0.454,0.316,140.031,audio_features,82287,,44.249796,15,Hipstter-Hop
2.4857,9.49,9,-1.367,0,0.1816,4.48E-05,0.863,0.165,0.0667,145.062,audio_features,222211,,9.6756354,6,Dark Trap
5.4136,9.07,0,-4.027,0,0.346,0.0592,0,0.278,0.721,158.994,audio_features,180447,,114.634674,3,Rap
3.819,8.73,5,-7.614,0,0.1392,0.000809,0.715,0.1826,0.376,145.017,audio_features,461793,Psytrance Can,54.526392,15,psytrance
3.0887,9.79,11,-2.381,1,0.8,0.00271,3.07E-06,0.236,0.346,207.808,audio_features,221000,,71.901568,7,Emotional
4.221,9.49,8,-2.902,1,0.1732,0.0337,0.888,0.0738,0.358,172.021,audio_features,356262,Liquid Drum & Bass,61.583518,14,Drums & Bass
5.3131,3.66,7,-10.051,1,0.544,0.0214,0,0.1928,0.278,122.991,audio_features,159522,,34.191498,19,Rhythm & Blues
4.1004,7.11,9,-9.151,0,0.2136,0.19,0.871,0.1792,0.0721,141.99,audio_features,440240,"Psy, Goa, Full on Trance",10.237479,7,psytrance
